,Country,Year,Month,Pollutant,GHG,Element,Temperature
47,Australia,1991,December,Carbon dioxide,279872.66,Standard Deviation,0.672
48,Australia,1992,January,Carbon dioxide,284912.438,Temperature change,-0.161
49,Australia,1992,January,Carbon dioxide,284912.438,Standard Deviation,0.61
50,Australia,1992,February,Carbon dioxide,284912.438,Temperature change,0.414
51,Australia,1992,February,Carbon dioxide,284912.438,Standard Deviation,0.574
52,Australia,1992,March,Carbon dioxide,284912.438,Temperature change,0.995
53,Australia,1992,March,Carbon dioxide,284912.438,Standard Deviation,0.519
54,Australia,1992,April,Carbon dioxide,284912.438,Temperature change,0.851
55,Australia,1992,April,Carbon dioxide,284912.438,Standard Deviation,0.556
56,Australia,1992,May,Carbon dioxide,284912.438,Temperature change,0.751
57,Australia,1992,May,Carbon dioxide,284912.438,Standard Deviation,0.84
58,Australia,1992,June,Carbon dioxide,284912.438,Temperature change,0.156
59,Australia,1992,June,Carbon dioxide,284912.438,Standard Deviation,0.696
60,Australia,1992,July,Carbon dioxide,284912.438,Temperature change,0.649
61,Australia,1992,July,Carbon dioxide,284912.438,Standard Deviation,0.705
62,Australia,1992,August,Carbon dioxide,284912.438,Temperature change,0.329
63,Australia,1992,August,Carbon dioxide,284912.438,Standard Deviation,0.709
64,Australia,1992,September,Carbon dioxide,284912.438,Temperature change,0.037
65,Australia,1992,September,Carbon dioxide,284912.438,Standard Deviation,0.745
66,Australia,1992,October,Carbon dioxide,284912.438,Temperature change,-0.411
67,Australia,1992,October,Carbon dioxide,284912.438,Standard Deviation,0.763
68,Australia,1992,November,Carbon dioxide,284912.438,Temperature change,-1.024
69,Australia,1992,November,Carbon dioxide,284912.438,Standard Deviation,0.721
70,Australia,1992,December,Carbon dioxide,284912.438,Temperature change,-0.391
71,Australia,1992,December,Carbon dioxide,284912.438,Standard Deviation,0.672
72,Australia,1993,January,Carbon dioxide,289235.186,Temperature change,0.578
73,Australia,1993,January,Carbon dioxide,289235.186,Standard Deviation,0.61
74,Australia,1993,February,Carbon dioxide,289235.186,Temperature change,-0.192
75,Australia,1993,February,Carbon dioxide,289235.186,Standard Deviation,0.574
76,Australia,1993,March,Carbon dioxide,289235.186,Temperature change,0.141
77,Australia,1993,March,Carbon dioxide,289235.186,Standard Deviation,0.519
78,Australia,1993,April,Carbon dioxide,289235.186,Temperature change,1.242
79,Australia,1993,April,Carbon dioxide,289235.186,Standard Deviation,0.556
80,Australia,1993,May,Carbon dioxide,289235.186,Temperature change,1.021
81,Australia,1993,May,Carbon dioxide,289235.186,Standard Deviation,0.84
82,Australia,1993,June,Carbon dioxide,289235.186,Temperature change,-0.012
83,Australia,1993,June,Carbon dioxide,289235.186,Standard Deviation,0.696
84,Australia,1993,July,Carbon dioxide,289235.186,Temperature change,1.172
85,Australia,1993,July,Carbon dioxide,289235.186,Standard Deviation,0.705
86,Australia,1993,August,Carbon dioxide,289235.186,Temperature change,0.849
87,Australia,1993,August,Carbon dioxide,289235.186,Standard Deviation,0.709
88,Australia,1993,September,Carbon dioxide,289235.186,Temperature change,0.293
89,Australia,1993,September,Carbon dioxide,289235.186,Standard Deviation,0.745
90,Australia,1993,October,Carbon dioxide,289235.186,Temperature change,-0.388
91,Australia,1993,October,Carbon dioxide,289235.186,Standard Deviation,0.763
92,Australia,1993,November,Carbon dioxide,289235.186,Temperature change,0.663
93,Australia,1993,November,Carbon dioxide,289235.186,Standard Deviation,0.721
94,Australia,1993,December,Carbon dioxide,289235.186,Temperature change,-0.439
95,Australia,1993,December,Carbon dioxide,289235.186,Standard Deviation,0.672
96,Australia,1994,January,Carbon dioxide,294014.961,Temperature change,0.909
97,Australia,1994,January,Carbon dioxide,294014.961,Standard Deviation,0.61
98,Australia,1994,February,Carbon dioxide,294014.961,Temperature change,0.032
99,Australia,1994,February,Carbon dioxide,294014.961,Standard Deviation,0.574
100,Australia,1994,March,Carbon dioxide,294014.961,Temperature change,-0.692
101,Australia,1994,March,Carbon dioxide,294014.961,Standard Deviation,0.519
102,Australia,1994,April,Carbon dioxide,294014.961,Temperature change,0.003
103,Australia,1994,April,Carbon dioxide,294014.961,Standard Deviation,0.556
104,Australia,1994,May,Carbon dioxide,294014.961,Temperature change,0.635
105,Australia,1994,May,Carbon dioxide,294014.961,Standard Deviation,0.84
106,Australia,1994,June,Carbon dioxide,294014.961,Temperature change,0.043
107,Australia,1994,June,Carbon dioxide,294014.961,Standard Deviation,0.696
108,Australia,1994,July,Carbon dioxide,294014.961,Temperature change,0.365
109,Australia,1994,July,Carbon dioxide,294014.961,Standard Deviation,0.705
110,Australia,1994,August,Carbon dioxide,294014.961,Temperature change,-0.223
111,Australia,1994,August,Carbon dioxide,294014.961,Standard Deviation,0.709
112,Australia,1994,September,Carbon dioxide,294014.961,Temperature change,0.258
113,Australia,1994,September,Carbon dioxide,294014.961,Standard Deviation,0.745
114,Australia,1994,October,Carbon dioxide,294014.961,Temperature change,0.666
115,Australia,1994,October,Carbon dioxide,294014.961,Standard Deviation,0.763
116,Australia,1994,November,Carbon dioxide,294014.961,Temperature change,0.428
117,Australia,1994,November,Carbon dioxide,294014.961,Standard Deviation,0.721
118,Australia,1994,December,Carbon dioxide,294014.961,Temperature change,1.016
119,Australia,1994,December,Carbon dioxide,294014.961,Standard Deviation,0.672
120,Australia,1995,January,Carbon dioxide,305410.167,Temperature change,0.389
121,Australia,1995,January,Carbon dioxide,305410.167,Standard Deviation,0.61
122,Australia,1995,February,Carbon dioxide,305410.167,Temperature change,-0.155
123,Australia,1995,February,Carbon dioxide,305410.167,Standard Deviation,0.574
124,Australia,1995,March,Carbon dioxide,305410.167,Temperature change,-0.55
125,Australia,1995,March,Carbon dioxide,305410.167,Standard Deviation,0.519
126,Australia,1995,April,Carbon dioxide,305410.167,Temperature change,-0.673
127,Australia,1995,April,Carbon dioxide,305410.167,Standard Deviation,0.556
128,Australia,1995,May,Carbon dioxide,305410.167,Temperature change,0.109
129,Australia,1995,May,Carbon dioxide,305410.167,Standard Deviation,0.84
130,Australia,1995,June,Carbon dioxide,305410.167,Temperature change,0.353
131,Australia,1995,June,Carbon dioxide,305410.167,Standard Deviation,0.696
132,Australia,1995,July,Carbon dioxide,305410.167,Temperature change,0.448
133,Australia,1995,July,Carbon dioxide,305410.167,Standard Deviation,0.705
134,Australia,1995,August,Carbon dioxide,305410.167,Temperature change,1.224
135,Australia,1995,August,Carbon dioxide,305410.167,Standard Deviation,0.709
136,Australia,1995,September,Carbon dioxide,305410.167,Temperature change,1.282
137,Australia,1995,September,Carbon dioxide,305410.167,Standard Deviation,0.745
138,Australia,1995,October,Carbon dioxide,305410.167,Temperature change,0.137
139,Australia,1995,October,Carbon dioxide,305410.167,Standard Deviation,0.763
140,Australia,1995,November,Carbon dioxide,305410.167,Temperature change,0.575
141,Australia,1995,November,Carbon dioxide,305410.167,Standard Deviation,0.721
142,Australia,1995,December,Carbon dioxide,305410.167,Temperature change,-0.281
143,Australia,1995,December,Carbon dioxide,305410.167,Standard Deviation,0.672
144,Australia,1996,January,Carbon dioxide,312361.586,Temperature change,0.155
145,Australia,1996,January,Carbon dioxide,312361.586,Standard Deviation,0.61
146,Australia,1996,February,Carbon dioxide,312361.586,Temperature change,0.372
147,Australia,1996,February,Carbon dioxide,312361.586,Standard Deviation,0.574
148,Australia,1996,March,Carbon dioxide,312361.586,Temperature change,0.077
149,Australia,1996,March,Carbon dioxide,312361.586,Standard Deviation,0.519
150,Australia,1996,April,Carbon dioxide,312361.586,Temperature change,-0.125
151,Australia,1996,April,Carbon dioxide,312361.586,Standard Deviation,0.556
152,Australia,1996,May,Carbon dioxide,312361.586,Temperature change,0.699
153,Australia,1996,May,Carbon dioxide,312361.586,Standard Deviation,0.84
154,Australia,1996,June,Carbon dioxide,312361.586,Temperature change,2.049
155,Australia,1996,June,Carbon dioxide,312361.586,Standard Deviation,0.696
156,Australia,1996,July,Carbon dioxide,312361.586,Temperature change,0.924
157,Australia,1996,July,Carbon dioxide,312361.586,Standard Deviation,0.705
158,Australia,1996,August,Carbon dioxide,312361.586,Temperature change,0.838
159,Australia,1996,August,Carbon dioxide,312361.586,Standard Deviation,0.709
160,Australia,1996,September,Carbon dioxide,312361.586,Temperature change,0.716
161,Australia,1996,September,Carbon dioxide,312361.586,Standard Deviation,0.745
162,Australia,1996,October,Carbon dioxide,312361.586,Temperature change,0.741
163,Australia,1996,October,Carbon dioxide,312361.586,Standard Deviation,0.763
164,Australia,1996,November,Carbon dioxide,312361.586,Temperature change,0.099
165,Australia,1996,November,Carbon dioxide,312361.586,Standard Deviation,0.721
166,Australia,1996,December,Carbon dioxide,312361.586,Temperature change,0.197
167,Australia,1996,December,Carbon dioxide,312361.586,Standard Deviation,0.672
168,Australia,1997,January,Carbon dioxide,320795.086,Temperature change,-0.213
169,Australia,1997,January,Carbon dioxide,320795.086,Standard Deviation,0.61
170,Australia,1997,February,Carbon dioxide,320795.086,Temperature change,1.004
171,Australia,1997,February,Carbon dioxide,320795.086,Standard Deviation,0.574
172,Australia,1997,March,Carbon dioxide,320795.086,Temperature change,-0.629
173,Australia,1997,March,Carbon dioxide,320795.086,Standard Deviation,0.519
174,Australia,1997,April,Carbon dioxide,320795.086,Temperature change,0.22
175,Australia,1997,April,Carbon dioxide,320795.086,Standard Deviation,0.556
176,Australia,1997,May,Carbon dioxide,320795.086,Temperature change,0.398
177,Australia,1997,May,Carbon dioxide,320795.086,Standard Deviation,0.84
178,Australia,1997,June,Carbon dioxide,320795.086,Temperature change,0.009
179,Australia,1997,June,Carbon dioxide,320795.086,Standard Deviation,0.696
180,Australia,1997,July,Carbon dioxide,320795.086,Temperature change,-0.395
181,Australia,1997,July,Carbon dioxide,320795.086,Standard Deviation,0.705
182,Australia,1997,August,Carbon dioxide,320795.086,Temperature change,0.13
183,Australia,1997,August,Carbon dioxide,320795.086,Standard Deviation,0.709
184,Australia,1997,September,Carbon dioxide,320795.086,Temperature change,1.341
185,Australia,1997,September,Carbon dioxide,320795.086,Standard Deviation,0.745
186,Australia,1997,October,Carbon dioxide,320795.086,Temperature change,0.779
187,Australia,1997,October,Carbon dioxide,320795.086,Standard Deviation,0.763
188,Australia,1997,November,Carbon dioxide,320795.086,Temperature change,0.965
189,Australia,1997,November,Carbon dioxide,320795.086,Standard Deviation,0.721
190,Australia,1997,December,Carbon dioxide,320795.086,Temperature change,1.075
191,Australia,1997,December,Carbon dioxide,320795.086,Standard Deviation,0.672
192,Australia,1998,January,Carbon dioxide,334684.518,Temperature change,0.949
193,Australia,1998,January,Carbon dioxide,334684.518,Standard Deviation,0.61
194,Australia,1998,February,Carbon dioxide,334684.518,Temperature change,1.346
195,Australia,1998,February,Carbon dioxide,334684.518,Standard Deviation,0.574
196,Australia,1998,March,Carbon dioxide,334684.518,Temperature change,1.193
197,Australia,1998,March,Carbon dioxide,334684.518,Standard Deviation,0.519
198,Australia,1998,April,Carbon dioxide,334684.518,Temperature change,0.574
199,Australia,1998,April,Carbon dioxide,334684.518,Standard Deviation,0.556
200,Australia,1998,May,Carbon dioxide,334684.518,Temperature change,1.628
201,Australia,1998,May,Carbon dioxide,334684.518,Standard Deviation,0.84
202,Australia,1998,June,Carbon dioxide,334684.518,Temperature change,0.621
203,Australia,1998,June,Carbon dioxide,334684.518,Standard Deviation,0.696
204,Australia,1998,July,Carbon dioxide,334684.518,Temperature change,0.57
205,Australia,1998,July,Carbon dioxide,334684.518,Standard Deviation,0.705
206,Australia,1998,August,Carbon dioxide,334684.518,Temperature change,1.687
207,Australia,1998,August,Carbon dioxide,334684.518,Standard Deviation,0.709
208,Australia,1998,September,Carbon dioxide,334684.518,Temperature change,1.51
209,Australia,1998,September,Carbon dioxide,334684.518,Standard Deviation,0.745
210,Australia,1998,October,Carbon dioxide,334684.518,Temperature change,0.863
211,Australia,1998,October,Carbon dioxide,334684.518,Standard Deviation,0.763
212,Australia,1998,November,Carbon dioxide,334684.518,Temperature change,0.245
213,Australia,1998,November,Carbon dioxide,334684.518,Standard Deviation,0.721
214,Australia,1998,December,Carbon dioxide,334684.518,Temperature change,0.324
215,Australia,1998,December,Carbon dioxide,334684.518,Standard Deviation,0.672
216,Australia,1999,January,Carbon dioxide,344063.766,Temperature change,1.276
217,Australia,1999,January,Carbon dioxide,344063.766,Standard Deviation,0.61
218,Australia,1999,February,Carbon dioxide,344063.766,Temperature change,0.262
219,Australia,1999,February,Carbon dioxide,344063.766,Standard Deviation,0.574
220,Australia,1999,March,Carbon dioxide,344063.766,Temperature change,0.518
221,Australia,1999,March,Carbon dioxide,344063.766,Standard Deviation,0.519
222,Australia,1999,April,Carbon dioxide,344063.766,Temperature change,-0.737
223,Australia,1999,April,Carbon dioxide,344063.766,Standard Deviation,0.556
224,Australia,1999,May,Carbon dioxide,344063.766,Temperature change,1.305
225,Australia,1999,May,Carbon dioxide,344063.766,Standard Deviation,0.84
226,Australia,1999,June,Carbon dioxide,344063.766,Temperature change,0.505
227,Australia,1999,June,Carbon dioxide,344063.766,Standard Deviation,0.696
228,Australia,1999,July,Carbon dioxide,344063.766,Temperature change,0.789
229,Australia,1999,July,Carbon dioxide,344063.766,Standard Deviation,0.705
230,Australia,1999,August,Carbon dioxide,344063.766,Temperature change,1.052
231,Australia,1999,August,Carbon dioxide,344063.766,Standard Deviation,0.709
232,Australia,1999,September,Carbon dioxide,344063.766,Temperature change,1.491
233,Australia,1999,September,Carbon dioxide,344063.766,Standard Deviation,0.745
234,Australia,1999,October,Carbon dioxide,344063.766,Temperature change,0.91
235,Australia,1999,October,Carbon dioxide,344063.766,Standard Deviation,0.763
236,Australia,1999,November,Carbon dioxide,344063.766,Temperature change,-1.191
237,Australia,1999,November,Carbon dioxide,344063.766,Standard Deviation,0.721
238,Australia,1999,December,Carbon dioxide,344063.766,Temperature change,-0.716
239,Australia,1999,December,Carbon dioxide,344063.766,Standard Deviation,0.672
240,Australia,2000,January,Carbon dioxide,350195.024,Temperature change,-0.557
241,Australia,2000,January,Carbon dioxide,350195.024,Standard Deviation,0.61
242,Australia,2000,February,Carbon dioxide,350195.024,Temperature change,0.318
243,Australia,2000,February,Carbon dioxide,350195.024,Standard Deviation,0.574
244,Australia,2000,March,Carbon dioxide,350195.024,Temperature change,0.022
245,Australia,2000,March,Carbon dioxide,350195.024,Standard Deviation,0.519
246,Australia,2000,April,Carbon dioxide,350195.024,Temperature change,0.171
247,Australia,2000,April,Carbon dioxide,350195.024,Standard Deviation,0.556
248,Australia,2000,May,Carbon dioxide,350195.024,Temperature change,-0.653
249,Australia,2000,May,Carbon dioxide,350195.024,Standard Deviation,0.84
250,Australia,2000,June,Carbon dioxide,350195.024,Temperature change,-0.648
251,Australia,2000,June,Carbon dioxide,350195.024,Standard Deviation,0.696
252,Australia,2000,July,Carbon dioxide,350195.024,Temperature change,0.741
253,Australia,2000,July,Carbon dioxide,350195.024,Standard Deviation,0.705
254,Australia,2000,August,Carbon dioxide,350195.024,Temperature change,0.319
255,Australia,2000,August,Carbon dioxide,350195.024,Standard Deviation,0.709
256,Australia,2000,September,Carbon dioxide,350195.024,Temperature change,1.863
257,Australia,2000,September,Carbon dioxide,350195.024,Standard Deviation,0.745
258,Australia,2000,October,Carbon dioxide,350195.024,Temperature change,0.058
259,Australia,2000,October,Carbon dioxide,350195.024,Standard Deviation,0.763
260,Australia,2000,November,Carbon dioxide,350195.024,Temperature change,0.543
261,Australia,2000,November,Carbon dioxide,350195.024,Standard Deviation,0.721
262,Australia,2000,December,Carbon dioxide,350195.024,Temperature change,0.108
263,Australia,2000,December,Carbon dioxide,350195.024,Standard Deviation,0.672
264,Australia,2001,January,Carbon dioxide,357669.18299999996,Temperature change,1.334
265,Australia,2001,January,Carbon dioxide,357669.18299999996,Standard Deviation,0.61
266,Australia,2001,February,Carbon dioxide,357669.18299999996,Temperature change,0.573
267,Australia,2001,February,Carbon dioxide,357669.18299999996,Standard Deviation,0.574
268,Australia,2001,March,Carbon dioxide,357669.18299999996,Temperature change,-0.451
269,Australia,2001,March,Carbon dioxide,357669.18299999996,Standard Deviation,0.519
270,Australia,2001,April,Carbon dioxide,357669.18299999996,Temperature change,0.325
271,Australia,2001,April,Carbon dioxide,357669.18299999996,Standard Deviation,0.556
272,Australia,2001,May,Carbon dioxide,357669.18299999996,Temperature change,-0.05
273,Australia,2001,May,Carbon dioxide,357669.18299999996,Standard Deviation,0.84
274,Australia,2001,June,Carbon dioxide,357669.18299999996,Temperature change,0.902
275,Australia,2001,June,Carbon dioxide,357669.18299999996,Standard Deviation,0.696
276,Australia,2001,July,Carbon dioxide,357669.18299999996,Temperature change,0.643
277,Australia,2001,July,Carbon dioxide,357669.18299999996,Standard Deviation,0.705
278,Australia,2001,August,Carbon dioxide,357669.18299999996,Temperature change,0.298
279,Australia,2001,August,Carbon dioxide,357669.18299999996,Standard Deviation,0.709
280,Australia,2001,September,Carbon dioxide,357669.18299999996,Temperature change,1.198
281,Australia,2001,September,Carbon dioxide,357669.18299999996,Standard Deviation,0.745
282,Australia,2001,October,Carbon dioxide,357669.18299999996,Temperature change,-0.748
283,Australia,2001,October,Carbon dioxide,357669.18299999996,Standard Deviation,0.763
284,Australia,2001,November,Carbon dioxide,357669.18299999996,Temperature change,-0.287
285,Australia,2001,November,Carbon dioxide,357669.18299999996,Standard Deviation,0.721
286,Australia,2001,December,Carbon dioxide,357669.18299999996,Temperature change,-0.434
287,Australia,2001,December,Carbon dioxide,357669.18299999996,Standard Deviation,0.672
288,Australia,2002,January,Carbon dioxide,362209.54600000003,Temperature change,0.13
289,Australia,2002,January,Carbon dioxide,362209.54600000003,Standard Deviation,0.61
290,Australia,2002,February,Carbon dioxide,362209.54600000003,Temperature change,-0.4
291,Australia,2002,February,Carbon dioxide,362209.54600000003,Standard Deviation,0.574
292,Australia,2002,March,Carbon dioxide,362209.54600000003,Temperature change,0.384
293,Australia,2002,March,Carbon dioxide,362209.54600000003,Standard Deviation,0.519
294,Australia,2002,April,Carbon dioxide,362209.54600000003,Temperature change,1.769
295,Australia,2002,April,Carbon dioxide,362209.54600000003,Standard Deviation,0.556
296,Australia,2002,May,Carbon dioxide,362209.54600000003,Temperature change,1.667
297,Australia,2002,May,Carbon dioxide,362209.54600000003,Standard Deviation,0.84
298,Australia,2002,June,Carbon dioxide,362209.54600000003,Temperature change,0.411
299,Australia,2002,June,Carbon dioxide,362209.54600000003,Standard Deviation,0.696
300,Australia,2002,July,Carbon dioxide,362209.54600000003,Temperature change,0.535
301,Australia,2002,July,Carbon dioxide,362209.54600000003,Standard Deviation,0.705
302,Australia,2002,August,Carbon dioxide,362209.54600000003,Temperature change,0.421
303,Australia,2002,August,Carbon dioxide,362209.54600000003,Standard Deviation,0.709
304,Australia,2002,September,Carbon dioxide,362209.54600000003,Temperature change,1.257
305,Australia,2002,September,Carbon dioxide,362209.54600000003,Standard Deviation,0.745
306,Australia,2002,October,Carbon dioxide,362209.54600000003,Temperature change,1.052
307,Australia,2002,October,Carbon dioxide,362209.54600000003,Standard Deviation,0.763
308,Australia,2002,November,Carbon dioxide,362209.54600000003,Temperature change,1.679
309,Australia,2002,November,Carbon dioxide,362209.54600000003,Standard Deviation,0.721
310,Australia,2002,December,Carbon dioxide,362209.54600000003,Temperature change,1.117
311,Australia,2002,December,Carbon dioxide,362209.54600000003,Standard Deviation,0.672
312,Australia,2003,January,Carbon dioxide,369726.018,Temperature change,0.882
313,Australia,2003,January,Carbon dioxide,369726.018,Standard Deviation,0.61
314,Australia,2003,February,Carbon dioxide,369726.018,Temperature change,1.025
315,Australia,2003,February,Carbon dioxide,369726.018,Standard Deviation,0.574
316,Australia,2003,March,Carbon dioxide,369726.018,Temperature change,-0.362
317,Australia,2003,March,Carbon dioxide,369726.018,Standard Deviation,0.519
318,Australia,2003,April,Carbon dioxide,369726.018,Temperature change,0.911
319,Australia,2003,April,Carbon dioxide,369726.018,Standard Deviation,0.556
320,Australia,2003,May,Carbon dioxide,369726.018,Temperature change,1.345
321,Australia,2003,May,Carbon dioxide,369726.018,Standard Deviation,0.84
322,Australia,2003,June,Carbon dioxide,369726.018,Temperature change,0.831
323,Australia,2003,June,Carbon dioxide,369726.018,Standard Deviation,0.696
324,Australia,2003,July,Carbon dioxide,369726.018,Temperature change,0.988
325,Australia,2003,July,Carbon dioxide,369726.018,Standard Deviation,0.705
326,Australia,2003,August,Carbon dioxide,369726.018,Temperature change,0.74
327,Australia,2003,August,Carbon dioxide,369726.018,Standard Deviation,0.709
328,Australia,2003,September,Carbon dioxide,369726.018,Temperature change,1.385
329,Australia,2003,September,Carbon dioxide,369726.018,Standard Deviation,0.745
330,Australia,2003,October,Carbon dioxide,369726.018,Temperature change,-0.26
331,Australia,2003,October,Carbon dioxide,369726.018,Standard Deviation,0.763
332,Australia,2003,November,Carbon dioxide,369726.018,Temperature change,0.886
333,Australia,2003,November,Carbon dioxide,369726.018,Standard Deviation,0.721
334,Australia,2003,December,Carbon dioxide,369726.018,Temperature change,1.14
335,Australia,2003,December,Carbon dioxide,369726.018,Standard Deviation,0.672
336,Australia,2004,January,Carbon dioxide,383205.12200000003,Temperature change,0.595
337,Australia,2004,January,Carbon dioxide,383205.12200000003,Standard Deviation,0.61
338,Australia,2004,February,Carbon dioxide,383205.12200000003,Temperature change,0.957
339,Australia,2004,February,Carbon dioxide,383205.12200000003,Standard Deviation,0.574
340,Australia,2004,March,Carbon dioxide,383205.12200000003,Temperature change,0.372
341,Australia,2004,March,Carbon dioxide,383205.12200000003,Standard Deviation,0.519
342,Australia,2004,April,Carbon dioxide,383205.12200000003,Temperature change,1.034
343,Australia,2004,April,Carbon dioxide,383205.12200000003,Standard Deviation,0.556
344,Australia,2004,May,Carbon dioxide,383205.12200000003,Temperature change,0.378
345,Australia,2004,May,Carbon dioxide,383205.12200000003,Standard Deviation,0.84
346,Australia,2004,June,Carbon dioxide,383205.12200000003,Temperature change,0.688
347,Australia,2004,June,Carbon dioxide,383205.12200000003,Standard Deviation,0.696
348,Australia,2004,July,Carbon dioxide,383205.12200000003,Temperature change,0.455
349,Australia,2004,July,Carbon dioxide,383205.12200000003,Standard Deviation,0.705
350,Australia,2004,August,Carbon dioxide,383205.12200000003,Temperature change,0.112
351,Australia,2004,August,Carbon dioxide,383205.12200000003,Standard Deviation,0.709
352,Australia,2004,September,Carbon dioxide,383205.12200000003,Temperature change,0.011
353,Australia,2004,September,Carbon dioxide,383205.12200000003,Standard Deviation,0.745
354,Australia,2004,October,Carbon dioxide,383205.12200000003,Temperature change,1.784
355,Australia,2004,October,Carbon dioxide,383205.12200000003,Standard Deviation,0.763
356,Australia,2004,November,Carbon dioxide,383205.12200000003,Temperature change,0.532
357,Australia,2004,November,Carbon dioxide,383205.12200000003,Standard Deviation,0.721
358,Australia,2004,December,Carbon dioxide,383205.12200000003,Temperature change,0.675
359,Australia,2004,December,Carbon dioxide,383205.12200000003,Standard Deviation,0.672
360,Australia,2005,January,Carbon dioxide,386513.45399999997,Temperature change,0.678
361,Australia,2005,January,Carbon dioxide,386513.45399999997,Standard Deviation,0.61
362,Australia,2005,February,Carbon dioxide,386513.45399999997,Temperature change,0.787
363,Australia,2005,February,Carbon dioxide,386513.45399999997,Standard Deviation,0.574
364,Australia,2005,March,Carbon dioxide,386513.45399999997,Temperature change,1.032
365,Australia,2005,March,Carbon dioxide,386513.45399999997,Standard Deviation,0.519
366,Australia,2005,April,Carbon dioxide,386513.45399999997,Temperature change,2.471
367,Australia,2005,April,Carbon dioxide,386513.45399999997,Standard Deviation,0.556
368,Australia,2005,May,Carbon dioxide,386513.45399999997,Temperature change,1.548
369,Australia,2005,May,Carbon dioxide,386513.45399999997,Standard Deviation,0.84
370,Australia,2005,June,Carbon dioxide,386513.45399999997,Temperature change,1.023
371,Australia,2005,June,Carbon dioxide,386513.45399999997,Standard Deviation,0.696
372,Australia,2005,July,Carbon dioxide,386513.45399999997,Temperature change,1.256
373,Australia,2005,July,Carbon dioxide,386513.45399999997,Standard Deviation,0.705
374,Australia,2005,August,Carbon dioxide,386513.45399999997,Temperature change,0.614
375,Australia,2005,August,Carbon dioxide,386513.45399999997,Standard Deviation,0.709
376,Australia,2005,September,Carbon dioxide,386513.45399999997,Temperature change,1.324
377,Australia,2005,September,Carbon dioxide,386513.45399999997,Standard Deviation,0.745
