,Unnamed: 0,Country,Year,Month,Pollutant,GHG,Element,Temperature
158,158,Australia,1996,August,Carbon dioxide,312361.586,Temperature change,0.838
160,160,Australia,1996,September,Carbon dioxide,312361.586,Temperature change,0.716
162,162,Australia,1996,October,Carbon dioxide,312361.586,Temperature change,0.741
164,164,Australia,1996,November,Carbon dioxide,312361.586,Temperature change,0.099
166,166,Australia,1996,December,Carbon dioxide,312361.586,Temperature change,0.19699999999999998
168,168,Australia,1997,January,Carbon dioxide,320795.086,Temperature change,-0.213
170,170,Australia,1997,February,Carbon dioxide,320795.086,Temperature change,1.004
172,172,Australia,1997,March,Carbon dioxide,320795.086,Temperature change,-0.629
174,174,Australia,1997,April,Carbon dioxide,320795.086,Temperature change,0.22
176,176,Australia,1997,May,Carbon dioxide,320795.086,Temperature change,0.39799999999999996
178,178,Australia,1997,June,Carbon dioxide,320795.086,Temperature change,0.009000000000000001
180,180,Australia,1997,July,Carbon dioxide,320795.086,Temperature change,-0.395
182,182,Australia,1997,August,Carbon dioxide,320795.086,Temperature change,0.13
184,184,Australia,1997,September,Carbon dioxide,320795.086,Temperature change,1.341
186,186,Australia,1997,October,Carbon dioxide,320795.086,Temperature change,0.779
188,188,Australia,1997,November,Carbon dioxide,320795.086,Temperature change,0.965
190,190,Australia,1997,December,Carbon dioxide,320795.086,Temperature change,1.075
192,192,Australia,1998,January,Carbon dioxide,334684.518,Temperature change,0.9490000000000001
194,194,Australia,1998,February,Carbon dioxide,334684.518,Temperature change,1.3459999999999999
196,196,Australia,1998,March,Carbon dioxide,334684.518,Temperature change,1.193
198,198,Australia,1998,April,Carbon dioxide,334684.518,Temperature change,0.574
200,200,Australia,1998,May,Carbon dioxide,334684.518,Temperature change,1.6280000000000001
202,202,Australia,1998,June,Carbon dioxide,334684.518,Temperature change,0.621
204,204,Australia,1998,July,Carbon dioxide,334684.518,Temperature change,0.57
206,206,Australia,1998,August,Carbon dioxide,334684.518,Temperature change,1.6869999999999998
208,208,Australia,1998,September,Carbon dioxide,334684.518,Temperature change,1.51
210,210,Australia,1998,October,Carbon dioxide,334684.518,Temperature change,0.863
212,212,Australia,1998,November,Carbon dioxide,334684.518,Temperature change,0.245
214,214,Australia,1998,December,Carbon dioxide,334684.518,Temperature change,0.324
216,216,Australia,1999,January,Carbon dioxide,344063.766,Temperature change,1.276
218,218,Australia,1999,February,Carbon dioxide,344063.766,Temperature change,0.262
220,220,Australia,1999,March,Carbon dioxide,344063.766,Temperature change,0.518
222,222,Australia,1999,April,Carbon dioxide,344063.766,Temperature change,-0.737
224,224,Australia,1999,May,Carbon dioxide,344063.766,Temperature change,1.305
226,226,Australia,1999,June,Carbon dioxide,344063.766,Temperature change,0.505
228,228,Australia,1999,July,Carbon dioxide,344063.766,Temperature change,0.789
230,230,Australia,1999,August,Carbon dioxide,344063.766,Temperature change,1.052
232,232,Australia,1999,September,Carbon dioxide,344063.766,Temperature change,1.4909999999999999
234,234,Australia,1999,October,Carbon dioxide,344063.766,Temperature change,0.91
236,236,Australia,1999,November,Carbon dioxide,344063.766,Temperature change,-1.1909999999999998
238,238,Australia,1999,December,Carbon dioxide,344063.766,Temperature change,-0.716
240,240,Australia,2000,January,Carbon dioxide,350195.024,Temperature change,-0.557
242,242,Australia,2000,February,Carbon dioxide,350195.024,Temperature change,0.318
244,244,Australia,2000,March,Carbon dioxide,350195.024,Temperature change,0.022000000000000002
246,246,Australia,2000,April,Carbon dioxide,350195.024,Temperature change,0.171
248,248,Australia,2000,May,Carbon dioxide,350195.024,Temperature change,-0.653
250,250,Australia,2000,June,Carbon dioxide,350195.024,Temperature change,-0.648
252,252,Australia,2000,July,Carbon dioxide,350195.024,Temperature change,0.741
254,254,Australia,2000,August,Carbon dioxide,350195.024,Temperature change,0.319
256,256,Australia,2000,September,Carbon dioxide,350195.024,Temperature change,1.8630000000000002
258,258,Australia,2000,October,Carbon dioxide,350195.024,Temperature change,0.057999999999999996
260,260,Australia,2000,November,Carbon dioxide,350195.024,Temperature change,0.5429999999999999
262,262,Australia,2000,December,Carbon dioxide,350195.024,Temperature change,0.10800000000000001
264,264,Australia,2001,January,Carbon dioxide,357669.183,Temperature change,1.334
266,266,Australia,2001,February,Carbon dioxide,357669.183,Temperature change,0.573
268,268,Australia,2001,March,Carbon dioxide,357669.183,Temperature change,-0.451
270,270,Australia,2001,April,Carbon dioxide,357669.183,Temperature change,0.325
272,272,Australia,2001,May,Carbon dioxide,357669.183,Temperature change,-0.05
274,274,Australia,2001,June,Carbon dioxide,357669.183,Temperature change,0.902
276,276,Australia,2001,July,Carbon dioxide,357669.183,Temperature change,0.643
278,278,Australia,2001,August,Carbon dioxide,357669.183,Temperature change,0.298
280,280,Australia,2001,September,Carbon dioxide,357669.183,Temperature change,1.198
282,282,Australia,2001,October,Carbon dioxide,357669.183,Temperature change,-0.748
284,284,Australia,2001,November,Carbon dioxide,357669.183,Temperature change,-0.287
286,286,Australia,2001,December,Carbon dioxide,357669.183,Temperature change,-0.434
288,288,Australia,2002,January,Carbon dioxide,362209.546,Temperature change,0.13
290,290,Australia,2002,February,Carbon dioxide,362209.546,Temperature change,-0.4
292,292,Australia,2002,March,Carbon dioxide,362209.546,Temperature change,0.384
294,294,Australia,2002,April,Carbon dioxide,362209.546,Temperature change,1.7690000000000001
296,296,Australia,2002,May,Carbon dioxide,362209.546,Temperature change,1.6669999999999998
298,298,Australia,2002,June,Carbon dioxide,362209.546,Temperature change,0.41100000000000003
300,300,Australia,2002,July,Carbon dioxide,362209.546,Temperature change,0.535
302,302,Australia,2002,August,Carbon dioxide,362209.546,Temperature change,0.42100000000000004
304,304,Australia,2002,September,Carbon dioxide,362209.546,Temperature change,1.2570000000000001
306,306,Australia,2002,October,Carbon dioxide,362209.546,Temperature change,1.052
308,308,Australia,2002,November,Carbon dioxide,362209.546,Temperature change,1.679
310,310,Australia,2002,December,Carbon dioxide,362209.546,Temperature change,1.117
312,312,Australia,2003,January,Carbon dioxide,369726.018,Temperature change,0.882
314,314,Australia,2003,February,Carbon dioxide,369726.018,Temperature change,1.025
316,316,Australia,2003,March,Carbon dioxide,369726.018,Temperature change,-0.36200000000000004
318,318,Australia,2003,April,Carbon dioxide,369726.018,Temperature change,0.9109999999999999
320,320,Australia,2003,May,Carbon dioxide,369726.018,Temperature change,1.345
322,322,Australia,2003,June,Carbon dioxide,369726.018,Temperature change,0.831
324,324,Australia,2003,July,Carbon dioxide,369726.018,Temperature change,0.988
326,326,Australia,2003,August,Carbon dioxide,369726.018,Temperature change,0.74
328,328,Australia,2003,September,Carbon dioxide,369726.018,Temperature change,1.385
330,330,Australia,2003,October,Carbon dioxide,369726.018,Temperature change,-0.26
332,332,Australia,2003,November,Carbon dioxide,369726.018,Temperature change,0.8859999999999999
334,334,Australia,2003,December,Carbon dioxide,369726.018,Temperature change,1.14
336,336,Australia,2004,January,Carbon dioxide,383205.122,Temperature change,0.595
338,338,Australia,2004,February,Carbon dioxide,383205.122,Temperature change,0.9570000000000001
340,340,Australia,2004,March,Carbon dioxide,383205.122,Temperature change,0.37200000000000005
342,342,Australia,2004,April,Carbon dioxide,383205.122,Temperature change,1.034
344,344,Australia,2004,May,Carbon dioxide,383205.122,Temperature change,0.37799999999999995
346,346,Australia,2004,June,Carbon dioxide,383205.122,Temperature change,0.688
348,348,Australia,2004,July,Carbon dioxide,383205.122,Temperature change,0.455
350,350,Australia,2004,August,Carbon dioxide,383205.122,Temperature change,0.11199999999999999
352,352,Australia,2004,September,Carbon dioxide,383205.122,Temperature change,0.011000000000000001
354,354,Australia,2004,October,Carbon dioxide,383205.122,Temperature change,1.784
356,356,Australia,2004,November,Carbon dioxide,383205.122,Temperature change,0.532
358,358,Australia,2004,December,Carbon dioxide,383205.122,Temperature change,0.675
360,360,Australia,2005,January,Carbon dioxide,386513.454,Temperature change,0.6779999999999999
362,362,Australia,2005,February,Carbon dioxide,386513.454,Temperature change,0.787
364,364,Australia,2005,March,Carbon dioxide,386513.454,Temperature change,1.032
366,366,Australia,2005,April,Carbon dioxide,386513.454,Temperature change,2.471
368,368,Australia,2005,May,Carbon dioxide,386513.454,Temperature change,1.548
370,370,Australia,2005,June,Carbon dioxide,386513.454,Temperature change,1.023
372,372,Australia,2005,July,Carbon dioxide,386513.454,Temperature change,1.256
374,374,Australia,2005,August,Carbon dioxide,386513.454,Temperature change,0.614
376,376,Australia,2005,September,Carbon dioxide,386513.454,Temperature change,1.324
378,378,Australia,2005,October,Carbon dioxide,386513.454,Temperature change,1.3519999999999999
380,380,Australia,2005,November,Carbon dioxide,386513.454,Temperature change,0.965
382,382,Australia,2005,December,Carbon dioxide,386513.454,Temperature change,1.1179999999999999
384,384,Australia,2006,January,Carbon dioxide,392680.646,Temperature change,1.185
386,386,Australia,2006,February,Carbon dioxide,392680.646,Temperature change,0.6609999999999999
388,388,Australia,2006,March,Carbon dioxide,392680.646,Temperature change,0.6859999999999999
390,390,Australia,2006,April,Carbon dioxide,392680.646,Temperature change,-0.486
392,392,Australia,2006,May,Carbon dioxide,392680.646,Temperature change,-0.565
394,394,Australia,2006,June,Carbon dioxide,392680.646,Temperature change,-0.8490000000000001
396,396,Australia,2006,July,Carbon dioxide,392680.646,Temperature change,0.162
398,398,Australia,2006,August,Carbon dioxide,392680.646,Temperature change,1.205
400,400,Australia,2006,September,Carbon dioxide,392680.646,Temperature change,1.425
402,402,Australia,2006,October,Carbon dioxide,392680.646,Temperature change,1.53
404,404,Australia,2006,November,Carbon dioxide,392680.646,Temperature change,1.6469999999999998
406,406,Australia,2006,December,Carbon dioxide,392680.646,Temperature change,0.436
408,408,Australia,2007,January,Carbon dioxide,399842.461,Temperature change,0.302
410,410,Australia,2007,February,Carbon dioxide,399842.461,Temperature change,1.7919999999999998
412,412,Australia,2007,March,Carbon dioxide,399842.461,Temperature change,0.65
414,414,Australia,2007,April,Carbon dioxide,399842.461,Temperature change,0.981
416,416,Australia,2007,May,Carbon dioxide,399842.461,Temperature change,2.127
418,418,Australia,2007,June,Carbon dioxide,399842.461,Temperature change,-1.278
420,420,Australia,2007,July,Carbon dioxide,399842.461,Temperature change,0.37799999999999995
422,422,Australia,2007,August,Carbon dioxide,399842.461,Temperature change,1.188
424,424,Australia,2007,September,Carbon dioxide,399842.461,Temperature change,1.3459999999999999
426,426,Australia,2007,October,Carbon dioxide,399842.461,Temperature change,1.4669999999999999
428,428,Australia,2007,November,Carbon dioxide,399842.461,Temperature change,0.9790000000000001
430,430,Australia,2007,December,Carbon dioxide,399842.461,Temperature change,0.307
432,432,Australia,2008,January,Carbon dioxide,404417.407,Temperature change,1.3219999999999998
434,434,Australia,2008,February,Carbon dioxide,404417.407,Temperature change,-0.35100000000000003
436,436,Australia,2008,March,Carbon dioxide,404417.407,Temperature change,0.557
438,438,Australia,2008,April,Carbon dioxide,404417.407,Temperature change,-0.34600000000000003
440,440,Australia,2008,May,Carbon dioxide,404417.407,Temperature change,0.659
442,442,Australia,2008,June,Carbon dioxide,404417.407,Temperature change,1.122
444,444,Australia,2008,July,Carbon dioxide,404417.407,Temperature change,0.415
446,446,Australia,2008,August,Carbon dioxide,404417.407,Temperature change,-0.5379999999999999
448,448,Australia,2008,September,Carbon dioxide,404417.407,Temperature change,1.541
450,450,Australia,2008,October,Carbon dioxide,404417.407,Temperature change,1.751
452,452,Australia,2008,November,Carbon dioxide,404417.407,Temperature change,0.20199999999999999
454,454,Australia,2008,December,Carbon dioxide,404417.407,Temperature change,0.261
456,456,Australia,2009,January,Carbon dioxide,407463.328,Temperature change,0.662
458,458,Australia,2009,February,Carbon dioxide,407463.328,Temperature change,0.688
460,460,Australia,2009,March,Carbon dioxide,407463.328,Temperature change,0.541
462,462,Australia,2009,April,Carbon dioxide,407463.328,Temperature change,0.741
464,464,Australia,2009,May,Carbon dioxide,407463.328,Temperature change,0.386
466,466,Australia,2009,June,Carbon dioxide,407463.328,Temperature change,0.708
468,468,Australia,2009,July,Carbon dioxide,407463.328,Temperature change,0.8959999999999999
470,470,Australia,2009,August,Carbon dioxide,407463.328,Temperature change,2.546
472,472,Australia,2009,September,Carbon dioxide,407463.328,Temperature change,1.409
474,474,Australia,2009,October,Carbon dioxide,407463.328,Temperature change,0.605
476,476,Australia,2009,November,Carbon dioxide,407463.328,Temperature change,2.181
478,478,Australia,2009,December,Carbon dioxide,407463.328,Temperature change,1.094
480,480,Australia,2010,January,Carbon dioxide,405502.799,Temperature change,0.877
482,482,Australia,2010,February,Carbon dioxide,405502.799,Temperature change,1.069
484,484,Australia,2010,March,Carbon dioxide,405502.799,Temperature change,0.425
486,486,Australia,2010,April,Carbon dioxide,405502.799,Temperature change,1.4909999999999999
488,488,Australia,2010,May,Carbon dioxide,405502.799,Temperature change,0.865
490,490,Australia,2010,June,Carbon dioxide,405502.799,Temperature change,0.389
492,492,Australia,2010,July,Carbon dioxide,405502.799,Temperature change,1.167
494,494,Australia,2010,August,Carbon dioxide,405502.799,Temperature change,0.28
496,496,Australia,2010,September,Carbon dioxide,405502.799,Temperature change,0.461
498,498,Australia,2010,October,Carbon dioxide,405502.799,Temperature change,-0.068
500,500,Australia,2010,November,Carbon dioxide,405502.799,Temperature change,-0.32
502,502,Australia,2010,December,Carbon dioxide,405502.799,Temperature change,-0.318
504,504,Australia,2011,January,Carbon dioxide,404172.757,Temperature change,1.078
506,506,Australia,2011,February,Carbon dioxide,404172.757,Temperature change,0.068
508,508,Australia,2011,March,Carbon dioxide,404172.757,Temperature change,-0.679
510,510,Australia,2011,April,Carbon dioxide,404172.757,Temperature change,-0.331
512,512,Australia,2011,May,Carbon dioxide,404172.757,Temperature change,-0.902
514,514,Australia,2011,June,Carbon dioxide,404172.757,Temperature change,-0.509
516,516,Australia,2011,July,Carbon dioxide,404172.757,Temperature change,0.726
518,518,Australia,2011,August,Carbon dioxide,404172.757,Temperature change,1.244
520,520,Australia,2011,September,Carbon dioxide,404172.757,Temperature change,0.42200000000000004
522,522,Australia,2011,October,Carbon dioxide,404172.757,Temperature change,0.698
524,524,Australia,2011,November,Carbon dioxide,404172.757,Temperature change,0.617
526,526,Australia,2011,December,Carbon dioxide,404172.757,Temperature change,-0.19699999999999998
528,528,Australia,2012,January,Carbon dioxide,406506.242,Temperature change,0.284
530,530,Australia,2012,February,Carbon dioxide,406506.242,Temperature change,-0.028999999999999998
532,532,Australia,2012,March,Carbon dioxide,406506.242,Temperature change,-0.765
534,534,Australia,2012,April,Carbon dioxide,406506.242,Temperature change,0.289
536,536,Australia,2012,May,Carbon dioxide,406506.242,Temperature change,-0.057
538,538,Australia,2012,June,Carbon dioxide,406506.242,Temperature change,-0.473
540,540,Australia,2012,July,Carbon dioxide,406506.242,Temperature change,-0.12
542,542,Australia,2012,August,Carbon dioxide,406506.242,Temperature change,0.493
544,544,Australia,2012,September,Carbon dioxide,406506.242,Temperature change,1.31
546,546,Australia,2012,October,Carbon dioxide,406506.242,Temperature change,1.035
548,548,Australia,2012,November,Carbon dioxide,406506.242,Temperature change,1.511
550,550,Australia,2012,December,Carbon dioxide,406506.242,Temperature change,1.3659999999999999
552,552,Australia,2013,January,Carbon dioxide,397943.179,Temperature change,1.9780000000000002
554,554,Australia,2013,February,Carbon dioxide,397943.179,Temperature change,1.045
556,556,Australia,2013,March,Carbon dioxide,397943.179,Temperature change,0.877
558,558,Australia,2013,April,Carbon dioxide,397943.179,Temperature change,1.208
560,560,Australia,2013,May,Carbon dioxide,397943.179,Temperature change,1.4369999999999998
562,562,Australia,2013,June,Carbon dioxide,397943.179,Temperature change,0.8640000000000001
564,564,Australia,2013,July,Carbon dioxide,397943.179,Temperature change,1.608
566,566,Australia,2013,August,Carbon dioxide,397943.179,Temperature change,1.764
568,568,Australia,2013,September,Carbon dioxide,397943.179,Temperature change,2.781
570,570,Australia,2013,October,Carbon dioxide,397943.179,Temperature change,1.656
572,572,Australia,2013,November,Carbon dioxide,397943.179,Temperature change,0.8109999999999999
574,574,Australia,2013,December,Carbon dioxide,397943.179,Temperature change,0.948
576,576,Australia,2014,January,Carbon dioxide,394116.89200000005,Temperature change,1.237
578,578,Australia,2014,February,Carbon dioxide,394116.89200000005,Temperature change,0.382
580,580,Australia,2014,March,Carbon dioxide,394116.89200000005,Temperature change,0.9129999999999999
582,582,Australia,2014,April,Carbon dioxide,394116.89200000005,Temperature change,1.255
584,584,Australia,2014,May,Carbon dioxide,394116.89200000005,Temperature change,1.956
586,586,Australia,2014,June,Carbon dioxide,394116.89200000005,Temperature change,0.555
588,588,Australia,2014,July,Carbon dioxide,394116.89200000005,Temperature change,0.462
590,590,Australia,2014,August,Carbon dioxide,394116.89200000005,Temperature change,0.475
592,592,Australia,2014,September,Carbon dioxide,394116.89200000005,Temperature change,1.43
594,594,Australia,2014,October,Carbon dioxide,394116.89200000005,Temperature change,2.068
596,596,Australia,2014,November,Carbon dioxide,394116.89200000005,Temperature change,1.983
598,598,Australia,2014,December,Carbon dioxide,394116.89200000005,Temperature change,1.089
600,600,Australia,2015,January,Carbon dioxide,401554.757,Temperature change,0.405
602,602,Australia,2015,February,Carbon dioxide,401554.757,Temperature change,1.93
604,604,Australia,2015,March,Carbon dioxide,401554.757,Temperature change,0.848
606,606,Australia,2015,April,Carbon dioxide,401554.757,Temperature change,-0.39899999999999997
608,608,Australia,2015,May,Carbon dioxide,401554.757,Temperature change,0.28
610,610,Australia,2015,June,Carbon dioxide,401554.757,Temperature change,1.32
612,612,Australia,2015,July,Carbon dioxide,401554.757,Temperature change,0.583
614,614,Australia,2015,August,Carbon dioxide,401554.757,Temperature change,0.8690000000000001
616,616,Australia,2015,September,Carbon dioxide,401554.757,Temperature change,0.591
618,618,Australia,2015,October,Carbon dioxide,401554.757,Temperature change,2.98
620,620,Australia,2015,November,Carbon dioxide,401554.757,Temperature change,2.1180000000000003
622,622,Australia,2015,December,Carbon dioxide,401554.757,Temperature change,1.246
624,624,Australia,2016,January,Carbon dioxide,411031.531,Temperature change,0.883
626,626,Australia,2016,February,Carbon dioxide,411031.531,Temperature change,1.29
628,628,Australia,2016,March,Carbon dioxide,411031.531,Temperature change,1.7630000000000001
630,630,Australia,2016,April,Carbon dioxide,411031.531,Temperature change,2.122
632,632,Australia,2016,May,Carbon dioxide,411031.531,Temperature change,2.313
634,634,Australia,2016,June,Carbon dioxide,411031.531,Temperature change,1.2830000000000001
636,636,Australia,2016,July,Carbon dioxide,411031.531,Temperature change,1.138
638,638,Australia,2016,August,Carbon dioxide,411031.531,Temperature change,0.706
640,640,Australia,2016,September,Carbon dioxide,411031.531,Temperature change,0.34
642,642,Australia,2016,October,Carbon dioxide,411031.531,Temperature change,-0.157
644,644,Australia,2016,November,Carbon dioxide,411031.531,Temperature change,0.779
646,646,Australia,2016,December,Carbon dioxide,411031.531,Temperature change,0.981
648,648,Australia,2017,January,Carbon dioxide,415097.428,Temperature change,1.065
650,650,Australia,2017,February,Carbon dioxide,415097.428,Temperature change,0.7390000000000001
652,652,Australia,2017,March,Carbon dioxide,415097.428,Temperature change,1.682
654,654,Australia,2017,April,Carbon dioxide,415097.428,Temperature change,0.23600000000000002
656,656,Australia,2017,May,Carbon dioxide,415097.428,Temperature change,1.048
658,658,Australia,2017,June,Carbon dioxide,415097.428,Temperature change,0.526
660,660,Australia,2017,July,Carbon dioxide,415097.428,Temperature change,1.761
662,662,Australia,2017,August,Carbon dioxide,415097.428,Temperature change,1.198
664,664,Australia,2017,September,Carbon dioxide,415097.428,Temperature change,1.474
666,666,Australia,2017,October,Carbon dioxide,415097.428,Temperature change,1.6680000000000001
668,668,Australia,2017,November,Carbon dioxide,415097.428,Temperature change,1.03
670,670,Australia,2017,December,Carbon dioxide,415097.428,Temperature change,1.306
672,672,Australia,2018,January,Carbon dioxide,415953.947,Temperature change,1.494
674,674,Australia,2018,February,Carbon dioxide,415953.947,Temperature change,0.9990000000000001
676,676,Australia,2018,March,Carbon dioxide,415953.947,Temperature change,1.0659999999999998
678,678,Australia,2018,April,Carbon dioxide,415953.947,Temperature change,2.332
680,680,Australia,2018,May,Carbon dioxide,415953.947,Temperature change,0.644
682,682,Australia,2018,June,Carbon dioxide,415953.947,Temperature change,0.33
684,684,Australia,2018,July,Carbon dioxide,415953.947,Temperature change,1.237
686,686,Australia,2018,August,Carbon dioxide,415953.947,Temperature change,0.191
688,688,Australia,2018,September,Carbon dioxide,415953.947,Temperature change,0.8590000000000001
690,690,Australia,2018,October,Carbon dioxide,415953.947,Temperature change,1.955
692,692,Australia,2018,November,Carbon dioxide,415953.947,Temperature change,0.929
694,694,Australia,2018,December,Carbon dioxide,415953.947,Temperature change,2.051
696,696,Australia,1990,January,Methane,124383.179,Temperature change,0.7490000000000001
698,698,Australia,1990,February,Methane,124383.179,Temperature change,-0.251
700,700,Australia,1990,March,Methane,124383.179,Temperature change,1.092
702,702,Australia,1990,April,Methane,124383.179,Temperature change,0.212
704,704,Australia,1990,May,Methane,124383.179,Temperature change,1.204
706,706,Australia,1990,June,Methane,124383.179,Temperature change,-0.375
708,708,Australia,1990,July,Methane,124383.179,Temperature change,0.6990000000000001
710,710,Australia,1990,August,Methane,124383.179,Temperature change,-0.218
712,712,Australia,1990,September,Methane,124383.179,Temperature change,0.153
714,714,Australia,1990,October,Methane,124383.179,Temperature change,0.6409999999999999
716,716,Australia,1990,November,Methane,124383.179,Temperature change,1.652
718,718,Australia,1990,December,Methane,124383.179,Temperature change,1.304
720,720,Australia,1991,January,Methane,124308.869,Temperature change,0.556
722,722,Australia,1991,February,Methane,124308.869,Temperature change,0.738
724,724,Australia,1991,March,Methane,124308.869,Temperature change,0.27899999999999997
